Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/11/2007,Minnesota Wild,1,Anaheim Ducks,2,,,,
4/11/2007,Pittsburgh Penguins,3,Ottawa Senators,6,,,,
4/11/2007,San Jose Sharks,5,Nashville Predators,4,2OT,,,
4/11/2007,Dallas Stars,4,Vancouver Canucks,5,4OT,,,
4/12/2007,New York Rangers,4,Atlanta Thrashers,3,,,,
4/12/2007,New York Islanders,1,Buffalo Sabres,4,,,,
4/12/2007,Calgary Flames,1,Detroit Red Wings,4,,,,
4/12/2007,Tampa Bay Lightning,3,New Jersey Devils,5,,,,
4/13/2007,Minnesota Wild,2,Anaheim Ducks,3,,,,
4/13/2007,San Jose Sharks,2,Nashville Predators,5,,,,
4/13/2007,Dallas Stars,2,Vancouver Canucks,0,,,,
4/14/2007,Pittsburgh Penguins,4,Ottawa Senators,3,,,,
4/14/2007,Tampa Bay Lightning,3,New Jersey Devils,2,,,,
4/14/2007,New York Islanders,3,Buffalo Sabres,2,,,,
4/14/2007,New York Rangers,2,Atlanta Thrashers,1,,,,
4/15/2007,Calgary Flames,1,Detroit Red Wings,3,,,,
4/15/2007,Anaheim Ducks,2,Minnesota Wild,1,,,,
4/15/2007,Ottawa Senators,4,Pittsburgh Penguins,2,,,,
4/15/2007,Vancouver Canucks,2,Dallas Stars,1,OT,,,
4/16/2007,Buffalo Sabres,3,New York Islanders,2,,,,
4/16/2007,Nashville Predators,1,San Jose Sharks,3,,,,
4/16/2007,New Jersey Devils,2,Tampa Bay Lightning,3,,,,
4/17/2007,Detroit Red Wings,2,Calgary Flames,3,,,,
4/17/2007,Ottawa Senators,2,Pittsburgh Penguins,1,,,,
4/17/2007,Atlanta Thrashers,0,New York Rangers,7,,,,
4/17/2007,Anaheim Ducks,1,Minnesota Wild,4,,,,
4/17/2007,Vancouver Canucks,2,Dallas Stars,1,,,,
4/18/2007,Buffalo Sabres,4,New York Islanders,2,,,,
4/18/2007,Atlanta Thrashers,2,New York Rangers,4,,,,
4/18/2007,Nashville Predators,2,San Jose Sharks,3,,,,
4/18/2007,New Jersey Devils,4,Tampa Bay Lightning,3,OT,,,
4/19/2007,Minnesota Wild,1,Anaheim Ducks,4,,,,
4/19/2007,Detroit Red Wings,2,Calgary Flames,3,,,,
4/19/2007,Pittsburgh Penguins,0,Ottawa Senators,3,,,,
4/19/2007,Dallas Stars,1,Vancouver Canucks,0,OT,,,
4/20/2007,New York Islanders,3,Buffalo Sabres,4,,,,
4/20/2007,Tampa Bay Lightning,0,New Jersey Devils,3,,,,
4/20/2007,San Jose Sharks,3,Nashville Predators,2,,,,
4/21/2007,Vancouver Canucks,0,Dallas Stars,2,,,,
4/21/2007,Calgary Flames,1,Detroit Red Wings,5,,,,
4/22/2007,New Jersey Devils,3,Tampa Bay Lightning,2,,,,
4/22/2007,Detroit Red Wings,2,Calgary Flames,1,2OT,,,
4/23/2007,Dallas Stars,1,Vancouver Canucks,4,,,,
4/25/2007,New York Rangers,2,Buffalo Sabres,5,,,,
4/25/2007,Vancouver Canucks,1,Anaheim Ducks,5,,,,
4/26/2007,San Jose Sharks,2,Detroit Red Wings,0,,,,
4/26/2007,Ottawa Senators,5,New Jersey Devils,4,,,,
4/27/2007,New York Rangers,2,Buffalo Sabres,3,,,,
4/27/2007,Vancouver Canucks,2,Anaheim Ducks,1,2OT,,,
4/28/2007,San Jose Sharks,2,Detroit Red Wings,3,,,,
4/28/2007,Ottawa Senators,2,New Jersey Devils,3,2OT,,,
4/29/2007,Anaheim Ducks,3,Vancouver Canucks,2,,,,
4/29/2007,Buffalo Sabres,1,New York Rangers,2,2OT,,,
4/30/2007,New Jersey Devils,0,Ottawa Senators,2,,,,
4/30/2007,Detroit Red Wings,1,San Jose Sharks,2,,,,
5/1/2007,Buffalo Sabres,1,New York Rangers,2,,,,
5/1/2007,Anaheim Ducks,3,Vancouver Canucks,2,OT,,,
5/2/2007,New Jersey Devils,2,Ottawa Senators,3,,,,
5/2/2007,Detroit Red Wings,3,San Jose Sharks,2,OT,,,
5/3/2007,Vancouver Canucks,1,Anaheim Ducks,2,2OT,,,
5/4/2007,New York Rangers,1,Buffalo Sabres,2,OT,,,
5/5/2007,San Jose Sharks,1,Detroit Red Wings,4,,,,
5/5/2007,Ottawa Senators,3,New Jersey Devils,2,,,,
5/6/2007,Buffalo Sabres,5,New York Rangers,4,,,,
5/7/2007,Detroit Red Wings,2,San Jose Sharks,0,,,,
5/10/2007,Ottawa Senators,5,Buffalo Sabres,2,,,,
5/11/2007,Anaheim Ducks,1,Detroit Red Wings,2,,,,
5/12/2007,Ottawa Senators,4,Buffalo Sabres,3,2OT,,,
5/13/2007,Anaheim Ducks,4,Detroit Red Wings,3,OT,,,
5/14/2007,Buffalo Sabres,0,Ottawa Senators,1,,,,
5/15/2007,Detroit Red Wings,5,Anaheim Ducks,0,,,,
5/16/2007,Buffalo Sabres,3,Ottawa Senators,2,,,,
5/17/2007,Detroit Red Wings,3,Anaheim Ducks,5,,,,
5/19/2007,Ottawa Senators,3,Buffalo Sabres,2,OT,,,
5/20/2007,Anaheim Ducks,2,Detroit Red Wings,1,OT,,,
5/22/2007,Detroit Red Wings,3,Anaheim Ducks,4,,,,
5/28/2007,Ottawa Senators,2,Anaheim Ducks,3,,,,
5/30/2007,Ottawa Senators,0,Anaheim Ducks,1,,,,
6/2/2007,Anaheim Ducks,3,Ottawa Senators,5,,,,
6/4/2007,Anaheim Ducks,3,Ottawa Senators,2,,,,
6/6/2007,Ottawa Senators,2,Anaheim Ducks,6,,,,
